epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.9014,1.35915,7.16792,1.5342,0.02179,0.19461,0.02258,0.01731,1.20523,5.95905,1.48427,0.000395349,0.000131783,0.000395349,0.000131783,0.000395349,0.000131783,0.000395349,0.000131783
2,79.3521,1.12707,4.82757,1.36319,0.11084,0.21674,0.09125,0.06922,0.97773,3.7818,1.28909,0.000787475,0.000262492,0.000787475,0.000262492,0.000787475,0.000262492,0.000787475,0.000262492
3,114.041,0.98721,3.6759,1.24861,0.31585,0.40796,0.28867,0.23055,0.87167,2.43839,1.18554,0.00117168,0.00039056,0.00117168,0.00039056,0.00117168,0.00039056,0.00117168,0.00039056
4,148.065,0.92629,2.70761,1.18811,0.43682,0.47489,0.48487,0.39278,0.81442,1.72203,1.13877,0.00116436,0.00038812,0.00116436,0.00038812,0.00116436,0.00038812,0.00116436,0.00038812
5,181.321,0.90091,2.0907,1.15975,0.57074,0.6579,0.67511,0.54911,0.80305,1.34389,1.12982,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
6,215.085,0.84753,1.69139,1.11311,0.69875,0.70815,0.7539,0.61475,0.77468,1.09573,1.11446,0.0011406,0.0003802,0.0011406,0.0003802,0.0011406,0.0003802,0.0011406,0.0003802
7,248.684,0.82079,1.48398,1.09412,0.72656,0.72669,0.79662,0.64812,0.75537,1.00867,1.09174,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624
8,282.246,0.79436,1.26955,1.07006,0.76071,0.76945,0.81258,0.66376,0.74913,0.93638,1.08609,0.00111684,0.00037228,0.00111684,0.00037228,0.00111684,0.00037228,0.00111684,0.00037228
9,316.475,0.77327,1.13459,1.05872,0.79838,0.78169,0.84471,0.68729,0.73441,0.87245,1.07147,0.00110496,0.00036832,0.00110496,0.00036832,0.00110496,0.00036832,0.00110496,0.00036832
10,350.303,0.77621,1.07165,1.05914,0.86163,0.7647,0.86223,0.703,0.73404,0.86713,1.06587,0.00109308,0.00036436,0.00109308,0.00036436,0.00109308,0.00036436,0.00109308,0.00036436
11,384.595,0.76833,0.98822,1.05164,0.8957,0.78393,0.88431,0.72467,0.72033,0.76599,1.04961,0.0010812,0.0003604,0.0010812,0.0003604,0.0010812,0.0003604,0.0010812,0.0003604
12,419.119,0.72971,0.93216,1.03804,0.83954,0.84763,0.89605,0.73973,0.7146,0.72044,1.05051,0.00106932,0.00035644,0.00106932,0.00035644,0.00106932,0.00035644,0.00106932,0.00035644
13,452.632,0.73651,0.89201,1.04115,0.88251,0.83266,0.91184,0.75143,0.71722,0.69779,1.04934,0.00105744,0.00035248,0.00105744,0.00035248,0.00105744,0.00035248,0.00105744,0.00035248
14,486.995,0.70407,0.82082,1.02578,0.84592,0.84112,0.90073,0.74932,0.71141,0.70335,1.04449,0.00104556,0.00034852,0.00104556,0.00034852,0.00104556,0.00034852,0.00104556,0.00034852
15,521.446,0.7246,0.81741,1.02359,0.88054,0.84505,0.91389,0.75628,0.70574,0.63898,1.03939,0.00103368,0.00034456,0.00103368,0.00034456,0.00103368,0.00034456,0.00103368,0.00034456
16,554.936,0.69608,0.76984,1.00696,0.85527,0.83837,0.90585,0.75439,0.69319,0.65848,1.02844,0.0010218,0.0003406,0.0010218,0.0003406,0.0010218,0.0003406,0.0010218,0.0003406
17,589.195,0.70379,0.74796,1.00838,0.87621,0.86854,0.91948,0.76333,0.70535,0.62774,1.0363,0.00100992,0.00033664,0.00100992,0.00033664,0.00100992,0.00033664,0.00100992,0.00033664
18,623.074,0.69257,0.73178,1.00367,0.89313,0.85542,0.9279,0.77322,0.68493,0.59877,1.02851,0.00099804,0.00033268,0.00099804,0.00033268,0.00099804,0.00033268,0.00099804,0.00033268
19,656.248,0.66669,0.67756,0.99636,0.91099,0.8565,0.92657,0.77591,0.6804,0.59815,1.0176,0.00098616,0.00032872,0.00098616,0.00032872,0.00098616,0.00032872,0.00098616,0.00032872
